ID,Name,Position,SM,WF,Rating,Color,League,Club,Country,Age,Rarity,Foot,Attack WR,Defense WR,Cost
820,Anthony Jung,LWB,3,3,72,silver,Bundesliga,Werder Bremen,Germany,31,Rare,Left,Med,Med,600
821,Romano Schmid,CAM,3,3,72,silver,Bundesliga,Werder Bremen,Austria,22,Rare,Right,High,Med,700
822,Jens Stage,CM,3,3,72,silver,Bundesliga,Werder Bremen,Denmark,26,Rare,Right,High,High,650
823,Felix Agu,RWB,3,3,71,silver,Bundesliga,Werder Bremen,Germany,23,Rare,Right,High,Med,600
824,Christian Groß,CDM,2,3,70,silver,Bundesliga,Werder Bremen,Germany,33,Rare,Right,Low,Med,550
825,Nicolai Rapp,CDM,2,3,69,silver,Bundesliga,Werder Bremen,Germany,26,Rare,Right,Med,Med,800
826,Benjamin Goller,RW,3,3,69,silver,Bundesliga,Werder Bremen,Germany,24,Non Rare,Right,Med,Med,2500
827,Jean-Manuel Mbom,CM,3,3,69,silver,Bundesliga,Werder Bremen,Germany,22,Non Rare,Right,Med,High,850
828,Ilia Gruev,CDM,3,2,68,silver,Bundesliga,Werder Bremen,Bulgaria,22,Non Rare,Left,Med,Med,600
829,Michael Zetterer,GK,1,5,68,silver,Bundesliga,Werder Bremen,Germany,27,Non Rare,Right,Med,Med,650
830,Niklas Schmidt,CAM,3,3,68,silver,Bundesliga,Werder Bremen,Germany,24,Rare,Right,Low,Low,700
831,Lee Buchanan,LWB,2,3,68,silver,Bundesliga,Werder Bremen,England,21,Non Rare,Left,High,Med,550
832,Oliver Burke,ST,3,3,68,silver,Bundesliga,Werder Bremen,Scotland,25,Rare,Right,Med,Med,700
833,Eren Dinkçi,RW,2,3,65,silver,Bundesliga,Werder Bremen,Germany,21,Rare,Right,Med,Med,750
834,Dos Santos Haesler,GK,1,2,61,bronze,Bundesliga,Werder Bremen,Germany,23,Rare,Right,Med,Med,350
835,Dikeni Salifou,CDM,2,3,61,bronze,Bundesliga,Werder Bremen,Togo,19,Non Rare,Right,Med,High,300
836,Fabio Chiarodia,CB,2,3,60,bronze,Bundesliga,Werder Bremen,Italy,17,Non Rare,Left,Med,Med,550
837,Louis Lord,GK,1,3,58,bronze,Bundesliga,Werder Bremen,Germany,19,Rare,Right,Med,Med,350
838,Mio Backhaus,GK,1,3,58,bronze,Bundesliga,Werder Bremen,Germany,18,Non Rare,Right,Med,Med,300
839,Lautaro Martínez,ST,4,4,86,gold,Serie A TIM,Inter,Argentina,25,Rare,Right,High,Med,17250
840,Romelu Lukaku,ST,3,4,86,gold,Serie A TIM,Inter,Belgium,29,Rare,Left,Med,Low,17500
841,Nicolò Barella,CM,3,3,86,gold,Serie A TIM,Inter,Italy,25,Rare,Right,High,High,21750
842,Marcelo Brozovic,CDM,3,4,86,gold,Serie A TIM,Inter,Croatia,30,Rare,Right,Med,Med,17500
843,Milan Škriniar,CB,2,3,86,gold,Serie A TIM,Inter,Slovakia,27,Rare,Right,Low,High,17250
844,Stefan de Vrij,CB,2,3,84,gold,Serie A TIM,Inter,Netherlands,30,Rare,Right,Med,High,4800
845,Edin Džeko,ST,3,5,84,gold,Serie A TIM,Inter,Bosnia and Herzegovina,36,Rare,Right,Med,Med,4800
846,Samir Handanovic,GK,1,3,84,gold,Serie A TIM,Inter,Slovenia,38,Rare,Right,Med,Med,4800
847,Hakan Çalhanoğlu,CM,4,4,84,gold,Serie A TIM,Inter,Turkey,28,Rare,Right,High,High,4800
848,Alessandro Bastoni,CB,2,3,84,gold,Serie A TIM,Inter,Italy,23,Rare,Left,Med,High,4700
849,André Onana,GK,1,3,82,gold,Serie A TIM,Inter,Cameroon,26,Rare,Right,Med,Med,1200
850,Robin Gosens,LWB,3,3,82,gold,Serie A TIM,Inter,Germany,28,Rare,Left,High,Med,1400
851,Denzel Dumfries,RWB,2,3,82,gold,Serie A TIM,Inter,Netherlands,26,Rare,Right,High,Med,1300
852,Francesco Acerbi,CB,3,3,82,gold,Serie A TIM,Inter,Italy,34,Non Rare,Left,Med,High,1300
853,Henrikh Mkhitaryan,CAM,4,5,81,gold,Serie A TIM,Inter,Armenia,33,Rare,Right,High,Low,750
854,Joaquín Correa,CF,4,4,80,gold,Serie A TIM,Inter,Argentina,28,Rare,Right,Med,Med,700
855,Matteo Darmian,RWB,3,5,80,gold,Serie A TIM,Inter,Italy,33,Non Rare,Right,Med,High,600
856,Federico Dimarco,LWB,3,2,78,gold,Serie A TIM,Inter,Italy,25,Non Rare,Left,Med,Med,600
857,Danilo D'Ambrosio,CB,3,3,78,gold,Serie A TIM,Inter,Italy,34,Non Rare,Right,Low,Med,650
858,Roberto Gagliardini,CDM,3,3,76,gold,Serie A TIM,Inter,Italy,28,Non Rare,Right,Med,Med,600
859,Raoul Bellanova,RWB,2,3,74,silver,Serie A TIM,Inter,Italy,22,Rare,Right,High,Med,650
860,Kristjan Asllani,CDM,2,3,72,silver,Serie A TIM,Inter,Albania,20,Non Rare,Right,Med,High,650
861,Alex Cordaz,GK,1,1,72,silver,Serie A TIM,Inter,Italy,40,Rare,Right,Med,Med,600
862,Dalbert Chagas Estevão,LWB,3,3,71,silver,Serie A TIM,Inter,Brazil,29,Rare,Left,Med,Med,600
863,Wojciech Szczesny,GK,1,3,86,gold,Serie A TIM,Juventus,Poland,32,Rare,Right,Med,Med,17250
864,Paul Pogba,CM,5,4,85,gold,Serie A TIM,Juventus,France,29,Rare,Right,Med,Low,12500
865,Filip Kostić,LM,3,2,85,gold,Serie A TIM,Juventus,Serbia,30,Rare,Left,High,High,12500
866,Dušan Vlahović,ST,3,3,84,gold,Serie A TIM,Juventus,Serbia,22,Rare,Left,Med,Med,5700
867,Leonardo Bonucci,CB,2,4,84,gold,Serie A TIM,Juventus,Italy,35,Rare,Right,Med,High,4900
868,Ángel Di María,RW,5,2,84,gold,Serie A TIM,Juventus,Argentina,34,Rare,Left,High,Med,4900
869,Federico Chiesa,LW,4,4,84,gold,Serie A TIM,Juventus,Italy,25,Rare,Right,High,Med,6400
870,Bremer,CB,2,2,83,gold,Serie A TIM,Juventus,Brazil,25,Rare,Right,High,Med,1900
871,Juan Cuadrado,RB,5,3,83,gold,Serie A TIM,Juventus,Colombia,34,Rare,Right,High,Med,2600
872,Manuel Locatelli,CDM,3,4,82,gold,Serie A TIM,Juventus,Italy,25,Rare,Right,Med,High,1300
873,Alex Sandro,LB,3,3,80,gold,Serie A TIM,Juventus,Brazil,31,Non Rare,Left,High,Med,750
874,Adrien Rabiot,CM,3,3,80,gold,Serie A TIM,Juventus,France,27,Rare,Left,Med,Med,900
875,Danilo,RB,3,4,80,gold,Serie A TIM,Juventus,Brazil,31,Non Rare,Right,Med,High,700
876,Leandro Paredes,CDM,4,4,80,gold,Serie A TIM,Juventus,Argentina,28,Non Rare,Right,Med,Med,750
877,Weston McKennie,CM,3,3,80,gold,Serie A TIM,Juventus,United States,24,Rare,Right,High,High,800
878,Arkadiusz Milik,ST,3,3,79,gold,Serie A TIM,Juventus,Poland,28,Non Rare,Left,Med,Med,600
879,Mattia Perin,GK,1,3,79,gold,Serie A TIM,Juventus,Italy,30,Non Rare,Right,Med,Med,650
880,Moise Kean,ST,3,3,78,gold,Serie A TIM,Juventus,Italy,22,Non Rare,Right,High,Med,650
881,Daniele Rugani,CB,2,3,76,gold,Serie A TIM,Juventus,Italy,28,Non Rare,Right,Low,Med,600
882,Mattia De Sciglio,RB,3,4,76,gold,Serie A TIM,Juventus,Italy,30,Non Rare,Right,Med,Med,700
883,Federico Gatti,CB,2,3,74,silver,Serie A TIM,Juventus,Italy,24,Rare,Right,Med,High,600
884,Carlo Pinsoglio,GK,1,2,73,silver,Serie A TIM,Juventus,Italy,32,Rare,Left,Med,Med,750
885,Nicolò Fagioli,CM,3,4,73,silver,Serie A TIM,Juventus,Italy,21,Rare,Right,Med,Med,600
886,Kaio Jorge Pinto Ramos,ST,3,3,71,silver,Serie A TIM,Juventus,Brazil,20,Rare,Right,High,Med,650
887,Fabio Miretti,CM,3,3,70,silver,Serie A TIM,Juventus,Italy,19,Non Rare,Right,Med,Med,750
888,Marley Aké,LW,3,3,70,silver,Serie A TIM,Juventus,France,22,Non Rare,Right,Med,Med,1600
889,Félix Correia,RW,4,2,68,silver,Serie A TIM,Juventus,Portugal,21,Non Rare,Right,High,Med,750
890,Matías Soulé,RW,4,4,68,silver,Serie A TIM,Juventus,Argentina,19,Non Rare,Left,High,Med,850
891,Mike Maignan,GK,1,4,87,gold,Serie A TIM,Milan,France,27,Rare,Right,Med,Med,22750
892,Theo Hernández,LB,3,3,85,gold,Serie A TIM,Milan,France,25,Rare,Left,High,Med,16000
893,Rafael Leão,LW,4,4,84,gold,Serie A TIM,Milan,Portugal,23,Rare,Right,Med,Low,4800
894,Fikayo Tomori,CB,2,4,84,gold,Serie A TIM,Milan,England,25,Rare,Right,Med,High,5500
895,Sandro Tonali,CDM,3,4,84,gold,Serie A TIM,Milan,Italy,22,Rare,Right,Med,High,5300
896,Zlatan Ibrahimović,ST,5,4,82,gold,Serie A TIM,Milan,Sweden,41,Rare,Right,Med,Low,1200
897,Ismaël Bennacer,CDM,4,3,82,gold,Serie A TIM,Milan,Algeria,25,Rare,Left,High,Med,1300
898,Simon Kjær,CB,2,3,82,gold,Serie A TIM,Milan,Denmark,33,Non Rare,Right,Low,High,1300
899,Olivier Giroud,ST,3,3,82,gold,Serie A TIM,Milan,France,36,Non Rare,Left,Med,Med,1200
900,Ante Rebić,LW,4,4,80,gold,Serie A TIM,Milan,Croatia,29,Non Rare,Right,High,Med,750
901,Davide Calabria,RB,3,3,80,gold,Serie A TIM,Milan,Italy,26,Rare,Right,High,High,700
902,Alessandro Florenzi,RB,3,4,79,gold,Serie A TIM,Milan,Italy,31,Non Rare,Right,High,Med,800
903,Junior Messias,RW,3,3,78,gold,Serie A TIM,Milan,Brazil,31,Non Rare,Left,High,Med,600
904,Brahim Díaz,CAM,4,5,78,gold,Serie A TIM,Milan,Spain,23,Rare,Right,High,Med,700
905,Pierre Kalulu,CB,2,3,78,gold,Serie A TIM,Milan,France,22,Rare,Right,Med,High,700
906,De Ketelaere,ST,4,4,78,gold,Serie A TIM,Milan,Belgium,21,Rare,Left,High,High,700
907,Alexis Saelemaekers,RW,3,4,78,gold,Serie A TIM,Milan,Belgium,23,Non Rare,Right,High,High,600
908,Rade Krunić,CM,3,3,77,gold,Serie A TIM,Milan,Bosnia and Herzegovina,29,Non Rare,Right,High,High,650
909,Sergiño Dest,RB,4,4,77,gold,Serie A TIM,Milan,United States,22,Rare,Right,High,Low,700
910,Divock Origi,ST,4,4,76,gold,Serie A TIM,Milan,Belgium,27,Non Rare,Right,High,Med,600
911,Tommaso Pobega,CM,3,4,76,gold,Serie A TIM,Milan,Italy,23,Rare,Left,High,Med,700
912,Ciprian Tătărușanu,GK,1,3,76,gold,Serie A TIM,Milan,Romania,36,Non Rare,Right,Med,Med,600
913,Tiemoué Bakayoko,CDM,3,3,75,gold,Serie A TIM,Milan,France,28,Non Rare,Right,Med,Med,600
914,Yacine Adli,CM,3,3,75,gold,Serie A TIM,Milan,France,22,Non Rare,Right,High,Med,650
915,Antonio Mirante,GK,1,2,74,silver,Serie A TIM,Milan,Italy,39,Rare,Right,Med,Med,950
916,Aster Vranckx,CM,3,5,73,silver,Serie A TIM,Milan,Belgium,20,Rare,Right,High,High,650
917,Fodé Ballo-Touré,LB,3,2,72,silver,Serie A TIM,Milan,Senegal,26,Rare,Left,High,Med,1200
918,Malick Thiaw,CB,2,5,72,silver,Serie A TIM,Milan,Germany,21,Rare,Right,Med,Med,850
919,Matteo Gabbia,CB,2,3,70,silver,Serie A TIM,Milan,Italy,23,Rare,Right,Low,High,650
920,Marko Lazetic,ST,2,3,65,silver,Serie A TIM,Milan,Serbia,18,Non Rare,Right,High,Med,650
921,Luca Stanga,CB,2,3,60,bronze,Serie A TIM,Milan,Italy,20,Non Rare,Right,Med,High,200
922,Gianluigi Buffon,GK,1,2,79,gold,Italy Serie B (2),Parma,Italy,44,Non Rare,Right,Med,Med,600
923,Franco Vázquez,CAM,4,3,76,gold,Italy Serie B (2),Parma,Argentina,33,Non Rare,Left,High,Med,650
924,Simone Romagnoli,CB,2,2,73,silver,Italy Serie B (2),Parma,Italy,32,Rare,Right,Low,Med,650
925,Leandro Chichizola,GK,1,3,71,silver,Italy Serie B (2),Parma,Argentina,32,Non Rare,Right,Med,Med,650
926,Dennis Man,RM,4,3,71,silver,Italy Serie B (2),Parma,Romania,24,Rare,Left,Med,Med,550
927,Elias Cobbaut,CB,2,4,71,silver,Italy Serie B (2),Parma,Belgium,25,Rare,Left,Med,Med,650
928,Valentin Mihăilă,LM,3,3,71,silver,Italy Serie B (2),Parma,Romania,22,Rare,Right,High,Med,600
929,Roberto Inglese,ST,3,3,70,silver,Italy Serie B (2),Parma,Italy,31,Non Rare,Right,Med,Med,650
930,Yordan Osorio,CB,2,2,70,silver,Italy Serie B (2),Parma,Venezuela,28,Non Rare,Right,Med,Med,600
931,Adrián Bernabé García,CM,3,3,69,silver,Italy Serie B (2),Parma,Spain,21,Rare,Left,High,Med,650
932,Nahuel Estévez,CM,3,3,69,silver,Italy Serie B (2),Parma,Argentina,27,Non Rare,Right,Med,Med,650
933,Gennaro Tutino,ST,3,3,69,silver,Italy Serie B (2),Parma,Italy,26,Non Rare,Right,High,Low,700
934,Stanko Juric,CDM,2,2,67,silver,Italy Serie B (2),Parma,Croatia,26,Non Rare,Right,Med,High,600
935,Enrico Delprato,RB,2,3,67,silver,Italy Serie B (2),Parma,Italy,23,Non Rare,Right,Med,Med,550
936,Lautaro Valenti,CB,2,4,66,silver,Italy Serie B (2),Parma,Argentina,24,Non Rare,Left,High,Med,600
937,Jayden Oosterwolde,LB,2,3,66,silver,Italy Serie B (2),Parma,Netherlands,21,Rare,Left,Med,Med,650
938,Adrian Benedyczak,ST,3,3,65,silver,Italy Serie B (2),Parma,Poland,22,Rare,Right,Med,Med,550
939,Vincent Laurini,RB,3,3,65,silver,Italy Serie B (2),Parma,France,33,Non Rare,Right,Med,Med,700
940,Simon Sohm,CDM,2,3,65,silver,Italy Serie B (2),Parma,Switzerland,21,Non Rare,Right,Med,Med,600
941,Woyo Coulibaly,RB,2,3,63,bronze,Italy Serie B (2),Parma,France,23,Non Rare,Right,Med,Med,400
942,Vasilis Zagaritis,LB,2,2,63,bronze,Italy Serie B (2),Parma,Greece,21,Non Rare,Left,Med,Med,200
943,Botond Balogh,CB,2,3,62,bronze,Italy Serie B (2),Parma,Hungary,20,Non Rare,Right,Med,Med,200
944,Drissa Camara,CM,2,1,58,bronze,Italy Serie B (2),Parma,Côte d'Ivoire,20,Non Rare,Right,Med,Med,200
945,Nikola Vlašić,LM,3,5,78,gold,Serie A TIM,Torino,Croatia,25,Non Rare,Right,High,Med,700
946,Alexey Miranchuk,CAM,3,2,78,gold,Serie A TIM,Torino,Russia,27,Non Rare,Left,High,Med,700
947,Saša Lukić,CM,3,3,77,gold,Serie A TIM,Torino,Serbia,26,Non Rare,Right,Med,Med,600
948,Wilfried Singo,RWB,2,2,76,gold,Serie A TIM,Torino,Côte d'Ivoire,22,Non Rare,Right,Med,Low,600
949,Perr Schuurs,CB,2,3,75,gold,Serie A TIM,Torino,Netherlands,23,Non Rare,Right,Med,Med,600
950,Valentino Lazaro,RWB,4,3,75,gold,Serie A TIM,Torino,Austria,26,Non Rare,Right,Med,Med,550
951,Antonio Sanabria,ST,4,4,75,gold,Serie A TIM,Torino,Paraguay,26,Non Rare,Right,High,Med,700
952,Ricardo Rodríguez,CB,3,3,74,silver,Serie A TIM,Torino,Switzerland,30,Rare,Left,Med,Med,600
953,Karol Linetty,CM,3,3,74,silver,Serie A TIM,Torino,Poland,27,Rare,Right,High,High,650
954,Nemanja Radonjić,LW,3,4,74,silver,Serie A TIM,Torino,Serbia,26,Rare,Right,High,Low,3500
955,Mërgim Vojvoda,LWB,3,4,74,silver,Serie A TIM,Torino,Kosovo,27,Rare,Right,Med,Med,550
956,Samuele Ricci,CDM,3,3,74,silver,Serie A TIM,Torino,Italy,21,Rare,Right,Med,Med,650
957,Yann Karamoh,LW,4,4,74,silver,Serie A TIM,Torino,France,24,Rare,Right,High,Med,1000
958,Ola Aina,LWB,3,4,74,silver,Serie A TIM,Torino,Nigeria,26,Rare,Right,Med,Med,650
959,David Zima,CB,2,3,74,silver,Serie A TIM,Torino,Czech Republic,22,Rare,Right,High,High,1200
960,Vanja Milinković-Savić,GK,1,3,73,silver,Serie A TIM,Torino,Serbia,25,Rare,Right,Med,Med,1900
961,Etrit Berisha,GK,1,2,73,silver,Serie A TIM,Torino,Albania,33,Rare,Left,Med,Med,700
962,Koffi Djidji,CB,2,3,71,silver,Serie A TIM,Torino,Côte d'Ivoire,30,Non Rare,Right,Med,High,600
963,Pietro Pellegri,ST,3,3,69,silver,Serie A TIM,Torino,Italy,21,Non Rare,Right,Med,Med,650
964,Alessandro Buongiorno,CB,2,3,68,silver,Serie A TIM,Torino,Italy,23,Non Rare,Left,Med,Med,550
965,Luca Gemello,GK,1,2,64,bronze,Serie A TIM,Torino,Italy,22,Rare,Right,Med,Med,450
966,Simone Edera,CAM,3,3,64,bronze,Serie A TIM,Torino,Italy,26,Rare,Left,High,Low,450
967,Matthew Garbett,CAM,3,3,63,bronze,Serie A TIM,Torino,New Zealand,20,Non Rare,Right,Med,Med,400
968,Demba Seck,RW,3,3,62,bronze,Serie A TIM,Torino,Senegal,21,Rare,Left,High,Low,400
969,Michel Ndary Adopo,CM,2,3,58,bronze,Serie A TIM,Torino,France,22,Non Rare,Right,Med,Med,600
970,Gerard Deulofeu Lázaro,ST,4,4,83,gold,Serie A TIM,Udinese,Spain,28,TOTW,Right,High,Med,16750
971,Deulofeu,CF,4,4,80,gold,Serie A TIM,Udinese,Spain,28,Rare,Right,High,Med,700
972,Marco Silvestri,GK,1,3,79,gold,Serie A TIM,Udinese,Italy,31,Non Rare,Right,Med,Med,700
973,Beto,ST,3,3,79,gold,Serie A TIM,Udinese,Portugal,24,Non Rare,Right,High,Med,600
974,Roberto Pereyra,CM,4,4,78,gold,Serie A TIM,Udinese,Argentina,32,Rare,Right,High,High,700
975,Bram Nuytinck,CB,2,2,75,gold,Serie A TIM,Udinese,Netherlands,32,Non Rare,Left,Low,High,550
976,Nehuén Pérez,CB,2,3,75,gold,Serie A TIM,Udinese,Argentina,22,Non Rare,Right,Med,High,700
977,Tolgay Arslan,CDM,3,4,75,gold,Serie A TIM,Udinese,Germany,32,Non Rare,Right,High,High,600
978,Rodrigo Becão,CB,2,2,75,gold,Serie A TIM,Udinese,Brazil,27,Non Rare,Right,Low,Med,650
979,Adam Masina,LWB,3,3,74,silver,Serie A TIM,Udinese,Morocco,29,Rare,Left,Med,High,600
980,Isaac Success,ST,3,3,74,silver,Serie A TIM,Udinese,Nigeria,27,Rare,Right,Med,Med,650
981,Destiny Iyenoma Udogie,LWB,3,3,74,silver,Serie A TIM,Udinese,Italy,20,Rare,Left,High,High,600
982,Walace Souza Silva,CDM,3,3,74,silver,Serie A TIM,Udinese,Brazil,27,Rare,Right,Med,High,600
983,Daniele Padelli,GK,1,2,72,silver,Serie A TIM,Udinese,Italy,37,Non Rare,Left,Med,Med,700
984,Sandi Lovrič,CM,3,3,72,silver,Serie A TIM,Udinese,Slovenia,24,Non Rare,Right,High,Med,750
985,Kingsley Ehizibue,RB,3,2,72,silver,Serie A TIM,Udinese,Nigeria,27,Rare,Right,High,Med,1000
986,Jean-Victor Makengo,CM,3,3,72,silver,Serie A TIM,Udinese,France,24,Rare,Left,High,High,700
987,Mato Jajalo,CDM,3,3,72,silver,Serie A TIM,Udinese,Bosnia and Herzegovina,34,Non Rare,Right,Med,High,800
988,Ilja Nestorovski,ST,3,3,71,silver,Serie A TIM,Udinese,FYR Macedonia,32,Rare,Left,High,Med,600
989,Enzo Ebosse,CB,2,3,70,silver,Serie A TIM,Udinese,Cameroon,23,Non Rare,Left,Med,Med,550
990,Lazar Samardžić,CAM,3,3,68,silver,Serie A TIM,Udinese,Germany,20,Non Rare,Left,Med,Med,650
991,Festy Ebosele,RWB,2,3,66,silver,Serie A TIM,Udinese,Republic of Ireland,20,Rare,Right,High,Med,650
992,Leonardo Daniel Ulineia Buta,LWB,2,2,60,bronze,Serie A TIM,Udinese,Portugal,20,Non Rare,Left,Med,Med,400
993,Benoît Costil,GK,1,3,75,gold,Ligue 1,AJ Auxerre,France,35,Non Rare,Right,Med,Med,900
994,Youssouf M'Changama,CAM,3,4,73,silver,Ligue 1,AJ Auxerre,Comoros,32,Rare,Right,High,High,1200
995,Gaëtan Charbonnier,ST,3,3,73,silver,Ligue 1,AJ Auxerre,France,34,Rare,Right,Med,High,1300
996,Mathias Autret,LM,4,3,73,silver,Ligue 1,AJ Auxerre,France,31,Rare,Right,High,Med,1200
997,Jubal,CB,2,2,73,silver,Ligue 1,AJ Auxerre,Brazil,29,Non Rare,Right,Med,Med,1200
998,M'Baye Niang,ST,3,4,73,silver,Ligue 1,AJ Auxerre,Senegal,28,Rare,Right,High,Low,1200
999,Denys Bain,CB,2,4,71,silver,Ligue 1,AJ Auxerre,France,29,Non Rare,Right,Low,Med,1100
1000,Quentin Bernard,LB,2,3,71,silver,Ligue 1,AJ Auxerre,France,33,Rare,Left,Med,Med,1300
1001,Hamza Sakhi,CM,4,3,71,silver,Ligue 1,AJ Auxerre,Morocco,26,Rare,Right,High,Low,1200
1002,Birama Touré,CDM,2,3,71,silver,Ligue 1,AJ Auxerre,Mali,30,Non Rare,Right,Low,High,1100
1003,Gideon Mensah,LB,3,2,70,silver,Ligue 1,AJ Auxerre,Ghana,24,Non Rare,Left,Med,Med,1200
1004,Donovan Léon,GK,1,2,70,silver,Ligue 1,AJ Auxerre,France,30,Non Rare,Right,Med,Med,1100
1005,Rémy Dugimont,LM,3,3,70,silver,Ligue 1,AJ Auxerre,France,36,Rare,Right,High,Low,1200
1006,Gauthier Hein,RM,4,3,70,silver,Ligue 1,AJ Auxerre,France,26,Rare,Left,High,Med,1200
1007,Julian Jeanvier,CB,2,3,70,silver,Ligue 1,AJ Auxerre,Guinea,29,Non Rare,Right,Med,Med,1200
1008,Nuno da Costa,ST,3,4,70,silver,Ligue 1,AJ Auxerre,Cape Verde Islands,31,Non Rare,Right,Med,Med,1100
1009,Gaëtan Perrin,LM,3,3,69,silver,Ligue 1,AJ Auxerre,France,26,Non Rare,Right,High,Med,1200
1010,Rayan Raveloson,CDM,3,3,68,silver,Ligue 1,AJ Auxerre,Madagascar,26,Non Rare,Right,Med,Med,1200
1011,Alexandre Coeff,CB,2,3,68,silver,Ligue 1,AJ Auxerre,France,30,Rare,Right,Med,Med,1200
1012,Théo Pellenard,CB,3,3,68,silver,Ligue 1,AJ Auxerre,France,28,Non Rare,Left,Med,Med,1200
1013,Kays Ruiz-Atil,CAM,3,3,66,silver,Ligue 1,AJ Auxerre,France,20,Non Rare,Right,Med,Med,1200
1014,Kenji-Van Boto,LB,2,4,66,silver,Ligue 1,AJ Auxerre,France,26,Non Rare,Left,Med,Med,1100
1015,Sonny Laiton,GK,1,2,64,bronze,Ligue 1,AJ Auxerre,France,22,Rare,Right,Med,Med,1100
1016,Lassine Sinayoko,ST,2,3,63,bronze,Ligue 1,AJ Auxerre,Mali,23,Non Rare,Right,High,Low,850
1017,Alec Georgen,RB,2,3,62,bronze,Ligue 1,AJ Auxerre,France,24,Non Rare,Right,Med,Med,1100
1018,Brayann Pereira,RB,2,2,61,bronze,Ligue 1,AJ Auxerre,France,19,Non Rare,Right,Med,Med,1200
1019,Ousoumane Camara,CM,2,2,60,bronze,Ligue 1,AJ Auxerre,France,24,Non Rare,Left,High,Med,900
1020,Paul Joly,CB,2,3,58,bronze,Ligue 1,AJ Auxerre,France,22,Non Rare,Left,Med,Med,1600
1021,Mohamed Ben Fredj,ST,2,3,58,bronze,Ligue 1,AJ Auxerre,Tunisia,22,Non Rare,Right,Med,Med,900
1022,Théo De Percin,GK,1,3,56,bronze,Ligue 1,AJ Auxerre,France,21,Non Rare,Right,Med,Med,950
1023,Salles-Lamonge,CM,3,3,67,silver,Ligue 2 (FRA 2),SC Bastia,France,26,Non Rare,Right,High,Med,700
1024,Benjamin Santelli,ST,4,2,67,silver,Ligue 2 (FRA 2),SC Bastia,France,31,Rare,Left,High,Med,650
1025,Dominique Guidi,CB,2,2,65,silver,Ligue 2 (FRA 2),SC Bastia,France,26,Non Rare,Right,Med,Med,850
1026,Zacharie Boucher,GK,1,3,65,silver,Ligue 2 (FRA 2),SC Bastia,France,30,Non Rare,Right,Med,Med,650
1027,Johny Placide,GK,1,2,65,silver,Ligue 2 (FRA 2),SC Bastia,Haiti,34,Non Rare,Right,Med,Med,600
1028,Vincent,CM,2,3,65,silver,Ligue 2 (FRA 2),SC Bastia,France,30,Non Rare,Right,Med,Med,750
1029,Tom Ducrocq,CDM,2,3,64,bronze,Ligue 2 (FRA 2),SC Bastia,France,23,Rare,Right,Med,Med,350
1030,Kévin Schur,RWB,2,3,64,bronze,Ligue 2 (FRA 2),SC Bastia,France,32,Rare,Right,High,Med,350
1031,Joris Sainati,CB,2,2,64,bronze,Ligue 2 (FRA 2),SC Bastia,France,34,Rare,Right,Low,High,350
1032,Amine Talal,CM,2,3,63,bronze,Ligue 2 (FRA 2),SC Bastia,Morocco,26,Rare,Left,Med,Med,800
1033,Kylian Kaïboue,LWB,2,3,63,bronze,Ligue 2 (FRA 2),SC Bastia,France,24,Non Rare,Left,High,Med,200
1034,Dylan Tavares dos Santos,LWB,2,3,63,bronze,Ligue 2 (FRA 2),SC Bastia,Cape Verde Islands,26,Non Rare,Left,Med,Med,200
1035,Lloyd Palun,RWB,2,3,63,bronze,Ligue 2 (FRA 2),SC Bastia,Gabon,34,Rare,Right,Med,High,350
1036,Antony Robic,RM,3,3,63,bronze,Ligue 2 (FRA 2),SC Bastia,France,36,Non Rare,Right,High,Med,200
1037,Migouel Alfarela,ST,3,3,62,bronze,Ligue 2 (FRA 2),SC Bastia,France,25,Non Rare,Right,High,Med,250
1038,Julien Fabri,GK,1,3,61,bronze,Ligue 2 (FRA 2),SC Bastia,France,28,Non Rare,Right,Med,Med,200
1039,Anthony Roncaglia,CDM,2,2,61,bronze,Ligue 2 (FRA 2),SC Bastia,France,23,Non Rare,Right,Low,Med,200
1040,Maguette Diongue,CDM,2,3,61,bronze,Ligue 2 (FRA 2),SC Bastia,France,30,Non Rare,Left,High,Med,200
1041,Mamadou Camara,CM,2,2,59,bronze,Ligue 2 (FRA 2),SC Bastia,Senegal,20,Non Rare,Left,Med,Med,200
1042,Alberth Elis,ST,4,4,75,gold,Ligue 2 (FRA 2),Bordeaux,Honduras,26,Rare,Right,High,Med,650
1043,Danylo Ignatenko,CDM,2,3,72,silver,Ligue 2 (FRA 2),Bordeaux,Ukraine,25,Rare,Right,Med,Med,550
1044,Clément Michelin,RB,3,3,71,silver,Ligue 2 (FRA 2),Bordeaux,France,25,Non Rare,Right,Med,Med,800
1045,Josh Maja,ST,3,3,71,silver,Ligue 2 (FRA 2),Bordeaux,Nigeria,24,Non Rare,Right,Med,Low,650
1046,Stian Rode Gregersen,CB,2,2,71,silver,Ligue 2 (FRA 2),Bordeaux,Norway,27,Rare,Right,Med,Med,600
1047,Issouf Sissokho,CDM,2,3,69,silver,Ligue 2 (FRA 2),Bordeaux,Mali,20,Non Rare,Right,High,High,600
1048,Aliou Badji,ST,3,3,68,silver,Ligue 2 (FRA 2),Bordeaux,Senegal,25,Rare,Right,Med,Low,550
1049,Tom Lacoux,CDM,2,3,68,silver,Ligue 2 (FRA 2),Bordeaux,France,20,Non Rare,Right,Med,High,600
