Player Name,Rating,Quality,Rarity,Position,Nation,League,Club,Price Range,FUTBIN Price,Bought For,Discard Value,Contract Left,IsUntradable,IsLoaned
Pablo Fornals,79,Gold,Common,CAM,Spain,Premier League,West Ham,Min:350 Max:10000,2000,0,0,7,true,false,
Guaita,79,Gold,Common,GK,Spain,Premier League,Crystal Palace,Min:350 Max:10000,600,0,0,7,true,false,
Mandanda,79,Gold,Common,GK,France,Ligue 1 Uber Eats,Stade Rennais FC,Min:350 Max:10000,1400,0,0,7,true,false,
Odriozola,78,Gold,Common,RB,Spain,LaLiga Santander,Real Madrid,Min:350 Max:10000,1000,0,277,7,false,false,
Gabriel Martinelli,78,Gold,RARE,LM,Brazil,Premier League,Arsenal,Min:650 Max:10000,750,0,545,18,false,false,
Simakan,78,Gold,RARE,CB,France,Bundesliga,RB Leipzig,Min:650 Max:10000,850,0,545,26,false,false,
Lopez,78,Gold,Common,CM,France,Serie A TIM,Sassuolo,Min:350 Max:10000,1000,0,277,7,false,false,
Sosa,78,Gold,Common,LB,Croatia,Bundesliga,VfB Stuttgart,Min:350 Max:10000,450,0,277,3,false,false,
Nübel,78,Gold,Common,GK,Germany,Ligue 1 Uber Eats,AS Monaco,Min:350 Max:10000,1400,0,277,3,false,false,
Senesi,78,Gold,Common,CB,Argentina,Premier League,AFC Bournemouth,Min:350 Max:10000,4800,0,277,7,false,false,
Lingard,78,Gold,Common,CAM,England,Premier League,Nott'm Forest,Min:350 Max:10000,4800,0,277,7,false,false,
Baumgartner,78,Gold,Common,CAM,Austria,Bundesliga,TSG Hoffenheim,Min:350 Max:10000,400,0,277,7,false,false,
Molina,78,Gold,Common,RWB,Argentina,LaLiga Santander,Atlético de Madrid,Min:350 Max:10000,450,0,277,7,false,false,
Willian José,78,Gold,Common,ST,Brazil,LaLiga Santander,Real Betis,Min:350 Max:10000,2000,0,0,7,true,false,
Rosario,78,Gold,Common,CDM,Netherlands,Ligue 1 Uber Eats,OGC Nice,Min:350 Max:10000,950,0,0,7,true,false,
Dimarco,78,Gold,Common,LWB,Italy,Serie A TIM,Inter,Min:350 Max:10000,1200,0,0,7,true,false,
Gollini,78,Gold,Common,GK,Italy,Serie A TIM,Fiorentina,Min:350 Max:10000,9300,0,0,7,true,false,
Driussi,78,Gold,Common,CAM,Argentina,MLS,Austin FC,Min:350 Max:10000,400,0,0,7,true,false,
Douglas Luiz,78,Gold,Common,CDM,Brazil,Premier League,Aston Villa,Min:350 Max:10000,1000,0,0,7,true,false,
Pérez,78,Gold,Special,CDM,Argentina,Libertadores,River Plate,Min:650 Max:10000,700,0,0,7,true,false,
Martínez,78,Gold,RARE,ST,Venezuela,MLS,Atlanta United,Min:650 Max:10000,1400,0,0,7,true,false,
Portu,78,Gold,RARE,RM,Spain,LaLiga Santander,Getafe CF,Min:650 Max:10000,750,0,0,7,true,false,
Ruidíaz,78,Gold,RARE,ST,Peru,MLS,Sounders FC,Min:650 Max:10000,700,0,0,7,true,false,
Luiz Araújo,78,Gold,Common,RM,Brazil,MLS,Atlanta United,Min:350 Max:10000,500,0,0,7,true,false,
Holeš,78,Gold,RARE,CDM,Czech Republic,Česká Liga,Slavia Praha,Min:650 Max:10000,700,0,0,7,true,false,
Ighalo,78,Gold,Common,ST,Nigeria,ROSHN Saudi League,Al Hilal,Min:350 Max:10000,400,0,0,7,true,false,
Watkins,78,Gold,RARE,ST,England,Premier League,Aston Villa,Min:650 Max:10000,2200,0,0,7,true,false,
Romarinho,78,Gold,RARE,CF,Brazil,ROSHN Saudi League,Al Ittihad,Min:650 Max:10000,700,0,0,7,true,false,
Aidoo,78,Gold,RARE,CB,Ghana,LaLiga Santander,RC Celta,Min:650 Max:10000,700,0,0,7,true,false,
Pereyra,78,Gold,RARE,CM,Argentina,Serie A TIM,Udinese,Min:650 Max:35000,900,0,0,7,true,false,
Fernando,78,Gold,Common,CDM,Brazil,Süper Lig,Antalyaspor,Min:350 Max:10000,450,0,0,7,true,false,
Brahim,78,Gold,RARE,CAM,Spain,Serie A TIM,Milan,Min:650 Max:10000,800,0,0,7,true,false,
Guilbert,78,Gold,Common,RWB,France,Premier League,Aston Villa,Min:350 Max:10000,4300,0,0,7,true,false,
Caputo,78,Gold,RARE,ST,Italy,Serie A TIM,Sampdoria,Min:650 Max:10000,10000,0,0,7,true,false,
Carrillo,78,Gold,Common,RW,Peru,ROSHN Saudi League,Al Hilal,Min:350 Max:10000,400,0,0,7,true,false,
Bamford,78,Gold,Common,ST,England,Premier League,Leeds United,Min:350 Max:10000,2400,0,0,7,true,false,
Niakhaté,78,Gold,RARE,CB,France,Premier League,Nott'm Forest,Min:650 Max:10000,5200,0,0,7,true,false,
Almirón,78,Gold,RARE,RM,Paraguay,Premier League,Newcastle Utd,Min:650 Max:10000,700,0,0,7,true,false,
Toko Ekambi,78,Gold,RARE,LM,Cameroon,Ligue 1 Uber Eats,OL,Min:650 Max:10000,4500,0,0,7,true,false,
Mavropanos,78,Gold,RARE,CB,Greece,Bundesliga,VfB Stuttgart,Min:650 Max:10000,700,0,0,7,true,false,
Ito,78,Gold,RARE,RW,Japan,Ligue 1 Uber Eats,Stade de Reims,Min:650 Max:30000,700,0,0,7,true,false,
Faraoni,78,Gold,Common,RWB,Italy,Serie A TIM,Hellas Verona,Min:350 Max:10000,400,0,0,7,true,false,
Kalajdžić,78,Gold,Common,ST,Austria,Premier League,Wolves,Min:350 Max:10000,700,0,0,7,true,false,
Rode,78,Gold,Common,CDM,Germany,Bundesliga,Frankfurt,Min:350 Max:10000,500,0,0,7,true,false,
Audero,78,Gold,Common,GK,Italy,Serie A TIM,Sampdoria,Min:350 Max:10000,400,0,0,7,true,false,
Pedro Neto,78,Gold,Common,LW,Portugal,Premier League,Wolves,Min:350 Max:10000,500,0,0,7,true,false,
Walker-Peters,78,Gold,Common,RB,England,Premier League,Southampton,Min:350 Max:10000,10000,0,0,7,true,false,
Lookman,77,Gold,RARE,LM,England,Serie A TIM,Bergamo Calcio,Min:650 Max:10000,7800,0,545,7,false,false,
Barrow,77,Gold,Common,CF,Gambia,Serie A TIM,Bologna,Min:350 Max:10000,400,0,273,7,false,false,
Lainer,77,Gold,Common,RB,Austria,Bundesliga,M'gladbach,Min:350 Max:10000,9800,0,273,7,false,false,
Kritsyuk,77,Gold,Common,GK,Russia,Liga Portugal,Gil Vicente,Min:350 Max:10000,400,0,273,7,false,false,
Miguel Veloso,77,Gold,Common,CM,Portugal,Serie A TIM,Hellas Verona,Min:350 Max:10000,750,0,0,7,true,false,
Kadeřábek,77,Gold,Common,RWB,Czech Republic,Bundesliga,TSG Hoffenheim,Min:350 Max:10000,400,0,0,7,true,false,
Boga,77,Gold,Common,LW,Ivory Coast,Serie A TIM,Bergamo Calcio,Min:350 Max:10000,400,0,0,7,true,false,
Aguilar,77,Gold,Common,RB,France,Ligue 1 Uber Eats,AS Monaco,Min:350 Max:10000,5400,0,0,7,true,false,
Unai Vencedor,77,Gold,Common,CM,Spain,LaLiga Santander,Athletic Club,Min:350 Max:10000,900,0,0,7,true,false,
Bou,77,Gold,Common,ST,Argentina,MLS,New England,Min:350 Max:10000,400,0,0,7,true,false,
Koné,77,Gold,Common,CM,France,Bundesliga,M'gladbach,Min:350 Max:10000,600,0,0,7,true,false,
Pezzella,77,Gold,Common,CB,Argentina,LaLiga Santander,Real Betis,Min:350 Max:10000,1600,0,0,7,true,false,
Boyé,77,Gold,Common,ST,Argentina,LaLiga Santander,Elche CF,Min:350 Max:10000,700,0,0,7,true,false,
Oxlade-Chamberlain,77,Gold,RARE,CM,England,Premier League,Liverpool,Min:650 Max:25000,2400,0,0,7,true,false,
Vitolo,77,Gold,Common,LM,Spain,LaLiga SmartBank,UD Las Palmas,Min:350 Max:10000,400,0,0,7,true,false,
Diallo,77,Gold,Common,ST,Senegal,Ligue 1 Uber Eats,Strasbourg,Min:350 Max:10000,650,0,0,7,true,false,
El Shaarawy,77,Gold,Common,LW,Italy,Serie A TIM,Roma FC,Min:350 Max:10000,400,0,0,7,true,false,
Demme,77,Gold,Common,CDM,Germany,Serie A TIM,Napoli FC,Min:350 Max:10000,500,0,0,7,true,false,
Geertruida,77,Gold,Common,RB,Netherlands,Eredivisie,Feyenoord,Min:350 Max:10000,650,0,0,7,true,false,
Castellanos,77,Gold,Common,ST,Argentina,LaLiga Santander,Girona FC,Min:350 Max:10000,950,0,0,7,true,false,
Madueke,77,Gold,Common,RW,England,Eredivisie,PSV,Min:350 Max:10000,--NA--,0,0,7,true,false,
Rodríguez,77,Gold,Special,ST,Argentina,Libertadores,Colón,Min:650 Max:10000,9000,0,0,7,true,false,
Hložek,77,Gold,Common,CAM,Czech Republic,Bundesliga,Leverkusen,Min:350 Max:10000,400,0,0,7,true,false,
Al Dawsari,77,Gold,RARE,LW,Saudi Arabia,ROSHN Saudi League,Al Hilal,Min:650 Max:10000,750,0,0,7,true,false,
Svensson,77,Gold,RARE,RB,Norway,Süper Lig,Adana Demirspor,Min:650 Max:10000,700,0,0,7,true,false,
Rosier,77,Gold,RARE,RB,France,Süper Lig,Beşiktaş,Min:650 Max:10000,2400,0,0,7,true,false,
David López,77,Gold,Common,CDM,Spain,LaLiga Santander,Girona FC,Min:350 Max:10000,750,0,0,7,true,false,
Badiashile,77,Gold,Common,CB,France,Ligue 1 Uber Eats,AS Monaco,Min:350 Max:10000,10000,0,0,7,true,false,
Toney,77,Gold,Common,ST,England,Premier League,Brentford,Min:350 Max:10000,2900,0,0,7,true,false,
Jovetić,77,Gold,Common,ST,Montenegro,Bundesliga,Hertha Berlin,Min:350 Max:10000,400,0,0,7,true,false,
Wolf,77,Gold,Common,RM,Germany,Bundesliga,Borussia Dortmund,Min:350 Max:10000,900,0,0,7,true,false,
Bryan Gil,77,Gold,Common,LM,Spain,Premier League,Spurs,Min:350 Max:10000,5000,0,0,7,true,false,
Lazović,77,Gold,Common,LM,Serbia,Serie A TIM,Hellas Verona,Min:350 Max:10000,400,0,0,7,true,false,
Godín,77,Gold,Special,CB,Uruguay,Libertadores,Vélez Sarsfield,Min:650 Max:10000,10000,0,0,7,true,false,
Kristensen,77,Gold,RARE,RB,Denmark,Premier League,Leeds United,Min:650 Max:10000,900,0,0,7,true,false,
James,77,Gold,RARE,RM,Wales,Premier League,Fulham,Min:650 Max:10000,700,0,0,7,true,false,
Brais Méndez,77,Gold,Common,RM,Spain,LaLiga Santander,Real Sociedad,Min:350 Max:10000,400,0,0,7,true,false,
Arthur Cabral,77,Gold,Common,ST,Brazil,Serie A TIM,Fiorentina,Min:350 Max:10000,800,0,0,7,true,false,
Teze,77,Gold,RARE,CB,Netherlands,Eredivisie,PSV,Min:550 Max:20000,800,0,0,7,true,false,
Bruno Viana,77,Gold,Common,CB,Brazil,CSL,Wuhan FC,Min:350 Max:10000,1100,0,0,7,true,false,
Disasi,77,Gold,Common,CB,France,Ligue 1 Uber Eats,AS Monaco,Min:350 Max:10000,2200,0,0,7,true,false,
Midtsjø,77,Gold,Common,CM,Norway,Süper Lig,Galatasaray,Min:350 Max:10000,400,0,0,7,true,false,
Isla,76,Gold,Special,RB,Chile,Sudamericana,Uni. Católica,Min:550 Max:4900,--NA--,0,540,7,false,false,
Coleman,76,Gold,Common,RB,Republic of Ireland,Premier League,Everton,Min:350 Max:10000,800,0,270,7,false,false,
Winks,76,Gold,Common,CM,England,Serie A TIM,Sampdoria,Min:350 Max:10000,900,0,270,7,false,false,
Amiri,76,Gold,Common,CAM,Germany,Bundesliga,Leverkusen,Min:350 Max:10000,500,0,270,7,false,false,
Kenedy,76,Gold,Common,LM,Brazil,LaLiga Santander,R. Valladolid CF,Min:350 Max:10000,400,0,270,7,false,false,
Prömel,76,Gold,Common,CM,Germany,Bundesliga,TSG Hoffenheim,Min:350 Max:10000,550,0,270,7,false,false,
Igor,76,Gold,Common,CB,Brazil,Serie A TIM,Fiorentina,Min:350 Max:10000,550,0,270,7,false,false,
Wilson,76,Gold,Common,RM,Wales,Premier League,Fulham,Min:350 Max:10000,400,0,270,7,false,false,
Idrissi,76,Gold,Common,LW,Morocco,Eredivisie,Feyenoord,Min:350 Max:10000,400,0,270,7,false,false,
Solomon,76,Gold,Common,LM,Israel,Premier League,Fulham,Min:350 Max:10000,400,0,270,7,false,false,
Luís Neto,76,Gold,Common,CB,Portugal,Liga Portugal,Sporting CP,Min:350 Max:10000,400,0,270,7,false,false,
Seferović,76,Gold,Common,ST,Switzerland,Süper Lig,Galatasaray,Min:350 Max:10000,2700,0,270,7,false,false,
Webster,76,Gold,Common,CB,England,Premier League,Brighton,Min:350 Max:10000,400,0,270,7,false,false,
Lukeba,76,Gold,Common,CB,France,Ligue 1 Uber Eats,OL,Min:350 Max:10000,900,0,270,7,false,false,
Medina,76,Gold,RARE,CB,Argentina,Ligue 1 Uber Eats,RC Lens,Min:650 Max:10000,1100,0,0,7,true,false,
Mooy,76,Gold,Common,CM,Australia,cinch Prem,Celtic,Min:350 Max:10000,400,0,0,7,true,false,
López,76,Gold,Special,ST,Uruguay,LPF,Central Córdoba,Min:9300 Max:42500,13250,0,0,7,true,false,
Skorupski,76,Gold,Common,GK,Poland,Serie A TIM,Bologna,Min:350 Max:10000,400,0,0,7,true,false,
Gueye,76,Gold,Common,CDM,Senegal,Ligue 1 Uber Eats,OM,Min:350 Max:10000,1200,0,0,7,true,false,
Martínez,76,Gold,Common,RM,Argentina,ROSHN Saudi League,Al Nassr,Min:350 Max:10000,650,0,0,7,true,false,
Gonalons,76,Gold,Common,CDM,France,Ligue 1 Uber Eats,Clermont Foot 63,Min:350 Max:10000,650,0,0,7,true,false,
Perraud,76,Gold,Common,LB,France,Premier League,Southampton,Min:350 Max:10000,3300,0,0,7,true,false,
Henry,76,Gold,Common,ST,France,Serie A TIM,Hellas Verona,Min:350 Max:10000,700,0,0,7,true,false,
Óscar Gil,76,Gold,Common,RB,Spain,LaLiga Santander,RCD Espanyol,Min:350 Max:10000,800,0,0,7,true,false,
Skov Olsen,76,Gold,Common,RM,Denmark,1A Pro League,Club Brugge,Min:350 Max:10000,400,0,0,7,true,false,
Kakuta,76,Gold,Common,CAM,DR Congo,Ligue 2 BKT,Amiens SC,Min:350 Max:10000,400,0,0,7,true,false,
Borja,76,Gold,Special,ST,Colombia,Libertadores,River Plate,Min:650 Max:10000,700,0,0,7,true,false,
Zampedri,76,Gold,Special,ST,Argentina,Libertadores,Uni. Católica,Min:650 Max:10000,3900,0,0,7,true,false,
Cummings,76,Gold,Special,ST,Australia,A-League,Central Coast,Min:9300 Max:42500,38000,0,0,7,true,false,
Maier,76,Gold,Common,CM,Germany,Bundesliga,FC Augsburg,Min:350 Max:10000,750,0,0,7,true,false,
Evander,76,Gold,Common,CM,Brazil,3F Superliga,FC Midtjylland,Min:350 Max:10000,--NA--,0,0,7,true,false,
Gómez Andrade,76,Gold,Common,CB,Colombia,MLS,Sounders FC,Min:350 Max:10000,400,0,0,7,true,false,
Forster,76,Gold,Common,GK,England,Premier League,Spurs,Min:350 Max:10000,500,0,0,7,true,false,
Stach,76,Gold,RARE,CM,Germany,Bundesliga,1. FSV Mainz 05,Min:650 Max:10000,850,0,0,7,true,false,
Ander Guevara,76,Gold,Common,CM,Spain,LaLiga Santander,Real Sociedad,Min:350 Max:10000,850,0,0,7,true,false,
Isla,76,Gold,Special,RB,Chile,Libertadores,Uni. Católica,Min:650 Max:10000,4200,0,0,7,true,false,
Singo,76,Gold,Common,RWB,Ivory Coast,Serie A TIM,Torino,Min:350 Max:10000,400,0,0,7,true,false,
Amartey,76,Gold,Common,CB,Ghana,Premier League,Leicester City,Min:350 Max:10000,400,0,0,7,true,false,
Wind,76,Gold,Common,ST,Denmark,Bundesliga,VfL Wolfsburg,Min:350 Max:10000,400,0,0,7,true,false,
Meling,76,Gold,Common,LB,Norway,Ligue 1 Uber Eats,Stade Rennais FC,Min:350 Max:10000,1000,0,0,7,true,false,
Rossi,76,Gold,Common,LM,Uruguay,Süper Lig,Fenerbahçe,Min:350 Max:10000,400,0,0,7,true,false,
Morelos,76,Gold,Common,ST,Colombia,cinch Prem,Rangers,Min:350 Max:10000,400,0,0,7,true,false,
Buyalskyi,76,Gold,Common,CM,Ukraine,Ukrayina Liha,Dynamo Kyiv,Min:350 Max:10000,400,0,0,7,true,false,
Cuéllar,76,Gold,Common,CDM,Colombia,ROSHN Saudi League,Al Hilal,Min:350 Max:10000,400,0,0,7,true,false,
Mykolenko,76,Gold,Common,LB,Ukraine,Premier League,Everton,Min:350 Max:10000,1200,0,0,7,true,false,
Fabra,76,Gold,Special,LB,Colombia,Libertadores,Boca Juniors,Min:650 Max:10000,700,0,0,7,true,false,
Adams,76,Gold,RARE,CDM,United States,Premier League,Leeds United,Min:650 Max:10000,700,0,0,7,true,false,
Fernández,76,Gold,Special,CM,Argentina,Libertadores,Boca Juniors,Min:650 Max:10000,700,0,0,7,true,false,
Falk,76,Gold,RARE,CM,Denmark,3F Superliga,F.C. København,Min:650 Max:10000,700,0,0,7,true,false,
Adrià Pedrosa,76,Gold,RARE,LB,Spain,LaLiga Santander,RCD Espanyol,Min:650 Max:10000,2000,0,0,7,true,false,
Żurkowski,76,Gold,RARE,CM,Poland,Serie A TIM,Fiorentina,Min:650 Max:10000,3600,0,0,7,true,false,
Almada,76,Gold,RARE,CAM,Argentina,MLS,Atlanta United,Min:650 Max:10000,750,0,0,7,true,false,
Kudus,76,Gold,RARE,CAM,Ghana,Eredivisie,Ajax,Min:650 Max:10000,750,0,0,7,true,false,
Aliendro,76,Gold,Special,CM,Argentina,Libertadores,River Plate,Min:650 Max:10000,700,0,0,7,true,false,
Edouard,76,Gold,RARE,ST,France,Premier League,Crystal Palace,Min:650 Max:10000,1000,0,0,7,true,false,
Philipp,76,Gold,Common,CF,Germany,Bundesliga,VfL Wolfsburg,Min:350 Max:10000,5600,0,0,7,true,false,
João Victor,76,Gold,Common,CB,Brazil,Liga Portugal,SL Benfica,Min:350 Max:10000,--NA--,0,0,7,true,false,
Puertas,76,Gold,Common,RM,Spain,LaLiga SmartBank,Granada CF,Min:350 Max:10000,400,0,0,7,true,false,
Vivian,76,Gold,Common,CB,Spain,LaLiga Santander,Athletic Club,Min:350 Max:10000,1000,0,0,7,true,false,
Zimmerman,76,Gold,Common,CB,United States,MLS,Nashville SC,Min:350 Max:10000,400,0,0,7,true,false,
Sviatchenko,76,Gold,Common,CB,Denmark,3F Superliga,FC Midtjylland,Min:350 Max:10000,500,0,0,7,true,false,
Dennis,76,Gold,RARE,ST,Nigeria,Premier League,Nott'm Forest,Min:650 Max:10000,800,0,0,7,true,false,
Kohr,76,Gold,RARE,CDM,Germany,Bundesliga,1. FSV Mainz 05,Min:650 Max:10000,800,0,0,7,true,false,
Pineda,76,Gold,Common,LM,Mexico,Hellas Liga,AEK Athens,Min:350 Max:10000,400,0,0,7,true,false,
Fraser,76,Gold,Common,RM,Scotland,Premier League,Newcastle Utd,Min:350 Max:10000,400,0,0,7,true,false,
Bare,76,Gold,RARE,CDM,Albania,LaLiga Santander,RCD Espanyol,Min:650 Max:10000,750,0,0,7,true,false,
Roger,76,Gold,Common,ST,Spain,LaLiga Santander,Cádiz CF,Min:300 Max:5000,2300,0,0,7,true,false,
Seferović,76,Gold,Common,ST,Switzerland,LaLiga Santander,RC Celta,Min:300 Max:5000,400,0,0,7,true,false,
Gagliardini,76,Gold,Common,CDM,Italy,Serie A TIM,Inter,Min:350 Max:10000,800,0,0,7,true,false,
Solanke,75,Gold,Common,ST,England,Premier League,AFC Bournemouth,Min:300 Max:10000,2000,0,0,45,true,false,
Chambers,75,Gold,Common,CB,England,Premier League,Aston Villa,Min:300 Max:10000,500,0,0,45,true,false,
Brownhill,75,Gold,Common,CM,England,EFL Championship,Burnley,Min:300 Max:10000,1000,0,0,45,true,false,
Luiz Gustavo,75,Gold,Common,CDM,Brazil,ROSHN Saudi League,Al Nassr,Min:300 Max:10000,400,0,266,7,false,false,
Ayling,75,Gold,Common,RB,England,Premier League,Leeds United,Min:300 Max:10000,2000,0,266,7,false,false,
Brignoli,75,Gold,Common,GK,Italy,Hellas Liga,Panathinaikos,Min:300 Max:10000,400,0,266,7,false,false,
Aribo,75,Gold,RARE,CM,Nigeria,Premier League,Southampton,Min:600 Max:10000,800,0,535,7,false,false,
Cullen,75,Gold,Common,CDM,Republic of Ireland,EFL Championship,Burnley,Min:300 Max:10000,350,0,266,7,false,false,
Doku,75,Gold,Common,RM,Belgium,Ligue 1 Uber Eats,Stade Rennais FC,Min:300 Max:10000,700,0,266,3,false,false,
Chardonnet,75,Gold,Common,CB,France,Ligue 1 Uber Eats,Stade Brestois 29,Min:300 Max:10000,800,0,266,7,false,false,
Goldson,75,Gold,Common,CB,England,cinch Prem,Rangers,Min:300 Max:10000,400,0,266,7,false,false,
Lemina,75,Gold,Common,CM,Gabon,Ligue 1 Uber Eats,OGC Nice,Min:300 Max:10000,3600,0,266,7,false,false,
Rony Lopes,75,Gold,Common,RW,Portugal,Ligue 1 Uber Eats,ESTAC Troyes,Min:300 Max:10000,600,0,266,7,false,false,
Pol Lirola,75,Gold,Common,RB,Spain,LaLiga Santander,Elche CF,Min:300 Max:10000,750,0,266,7,false,false,
Fellaini,75,Gold,Common,CM,Belgium,CSL,Shandong Taishan,Min:300 Max:10000,350,0,266,7,false,false,
Wanyama,75,Gold,Common,CDM,Kenya,MLS,CF Montréal,Min:300 Max:10000,400,0,266,7,false,false,
Lallana,75,Gold,Common,CM,England,Premier League,Brighton,Min:300 Max:10000,1300,0,266,7,false,false,
Murillo,75,Gold,Common,CB,Colombia,Serie A TIM,Sampdoria,Min:300 Max:10000,400,0,266,7,false,false,
Balanta,75,Gold,Common,CDM,Colombia,1A Pro League,Club Brugge,Min:300 Max:10000,450,0,266,7,false,false,
Kike García,75,Gold,Common,ST,Spain,LaLiga Santander,CA Osasuna,Min:300 Max:10000,10000,0,266,7,false,false,
Ducksch,75,Gold,Common,ST,Germany,Bundesliga,SV Werder Bremen,Min:300 Max:10000,650,0,266,7,false,false,
Fran Navarro,75,Gold,Common,ST,Spain,Liga Portugal,Gil Vicente,Min:300 Max:10000,2000,0,0,7,true,false,
Barboza,75,Gold,Special,CB,Argentina,Libertadores,Libertad,Min:600 Max:10000,2200,0,0,7,true,false,
Ajer,75,Gold,Common,CB,Norway,Premier League,Brentford,Min:300 Max:10000,400,0,0,7,true,false,
Sosa,75,Gold,Special,GK,Uruguay,Sudamericana,Independiente,Min:300 Max:10000,2400,0,0,7,true,false,
March,75,Gold,Common,LWB,England,Premier League,Brighton,Min:300 Max:10000,450,0,0,7,true,false,
Escudero,75,Gold,Common,LB,Spain,LaLiga Santander,R. Valladolid CF,Min:300 Max:10000,1500,0,0,7,true,false,
Luthe,75,Gold,Common,GK,Germany,Bundesliga 2,Kaiserslautern,Min:300 Max:10000,400,0,0,7,true,false,
Zainadine,75,Gold,Common,CB,Mozambique,Liga Portugal,Marítimo,Min:300 Max:10000,350,0,0,7,true,false,
Cesinha,75,Gold,Common,LW,Brazil,K League 1,Daegu FC,Min:300 Max:10000,400,0,0,7,true,false,
Rodák,75,Gold,Common,GK,Slovakia,Premier League,Fulham,Min:300 Max:10000,400,0,0,7,true,false,
Atal,75,Gold,Common,RB,Algeria,Ligue 1 Uber Eats,OGC Nice,Min:300 Max:10000,1500,0,0,7,true,false,
Edu Expósito,75,Gold,Common,CAM,Spain,LaLiga Santander,RCD Espanyol,Min:300 Max:10000,5000,0,0,7,true,false,
Gregoritsch,75,Gold,Common,ST,Austria,Bundesliga,SC Freiburg,Min:300 Max:10000,400,0,0,7,true,false,
Wallace,75,Gold,Common,CAM,England,EFL Championship,West Brom,Min:300 Max:10000,750,0,0,7,true,false,
André Gomes,75,Gold,Common,CM,Portugal,Ligue 1 Uber Eats,LOSC Lille,Min:300 Max:10000,800,0,0,7,true,false,
Balliu,75,Gold,Common,RB,Albania,LaLiga Santander,Rayo Vallecano,Min:300 Max:10000,750,0,0,7,true,false,
Gutiérrez,75,Gold,Special,ST,Colombia,Libertadores,Deportivo Cali,Min:600 Max:10000,4000,0,0,7,true,false,
Giannetti,75,Gold,Special,CB,Argentina,Libertadores,Vélez Sarsfield,Min:600 Max:10000,9000,0,0,7,true,false,
Janson,75,Gold,Special,LW,Argentina,Libertadores,Vélez Sarsfield,Min:600 Max:10000,1300,0,0,7,true,false,
Godoy,75,Gold,Special,RB,Argentina,Libertadores,Estudiantes,Min:600 Max:10000,4000,0,0,7,true,false,
Sarr,75,Gold,Common,CB,France,Ligue 1 Uber Eats,AS Monaco,Min:300 Max:10000,1400,0,0,7,true,false,
Aguado,75,Gold,Common,CM,Spain,LaLiga Santander,R. Valladolid CF,Min:300 Max:10000,900,0,0,7,true,false,
Larsen,75,Gold,Common,RB,Denmark,Süper Lig,Trabzonspor,Min:300 Max:10000,400,0,0,7,true,false,
Höfler,75,Gold,Common,CDM,Germany,Bundesliga,SC Freiburg,Min:300 Max:10000,400,0,0,7,true,false,
Burián,75,Gold,Special,GK,Uruguay,Libertadores,Vélez Sarsfield,Min:600 Max:10000,3000,0,0,7,true,false,
De Laet,75,Gold,Common,RB,Belgium,1A Pro League,Royal Antwerp FC,Min:300 Max:10000,500,0,0,7,true,false,
Seiwald,75,Gold,Common,CM,Austria,Ö. Bundesliga,RB Salzburg,Min:300 Max:10000,400,0,0,7,true,false,
Lucero,75,Gold,Special,ST,Argentina,Libertadores,Colo-Colo,Min:600 Max:10000,--NA--,0,0,7,true,false,
Sornoza,75,Gold,Special,CAM,Ecuador,Libertadores,IDV,Min:600 Max:10000,850,0,0,7,true,false,
Davies,75,Gold,Common,CM,England,Premier League,Everton,Min:300 Max:10000,1200,0,0,7,true,false,
Al Faraj,75,Gold,Common,CM,Saudi Arabia,ROSHN Saudi League,Al Hilal,Min:300 Max:10000,350,0,0,7,true,false,
Eggestein,75,Gold,Common,CDM,Germany,Bundesliga,SC Freiburg,Min:300 Max:10000,500,0,0,7,true,false,
Gonçalo Ramos,75,Gold,Common,ST,Portugal,Liga Portugal,SL Benfica,Min:300 Max:10000,2500,0,0,7,true,false,
Bou,75,Gold,Special,ST,Argentina,Libertadores,Vélez Sarsfield,Min:600 Max:10000,3000,0,0,7,true,false,
Lingr,75,Gold,Common,CAM,Czech Republic,Česká Liga,Slavia Praha,Min:300 Max:10000,350,0,0,7,true,false,
Hotto,75,Gold,Common,LW,Namibia,South African FL,Orlando Pirates,Min:300 Max:10000,350,0,0,7,true,false,
Foulquier,75,Gold,Common,RB,France,LaLiga Santander,Valencia CF,Min:300 Max:10000,2300,0,0,7,true,false,
Burrai,75,Gold,Special,GK,Argentina,Sudamericana,Barcelona SC,Min:300 Max:10000,2500,0,0,7,true,false,
Nakamba,75,Gold,Common,CDM,Zimbabwe,Premier League,Aston Villa,Min:300 Max:10000,900,0,0,7,true,false,
Lorch,75,Gold,Common,RW,South Africa,South African FL,Orlando Pirates,Min:300 Max:10000,350,0,0,7,true,false,
Carles Pérez,75,Gold,Common,RW,Spain,LaLiga Santander,RC Celta,Min:300 Max:10000,400,0,0,7,true,false,
Provod,75,Gold,RARE,CM,Czech Republic,Česká Liga,Slavia Praha,Min:600 Max:10000,700,0,0,7,true,false,
Kamara,75,Gold,RARE,CM,Finland,cinch Prem,Rangers,Min:600 Max:10000,800,0,0,7,true,false,
Martínez,75,Gold,Special,CB,Paraguay,Libertadores,River Plate,Min:600 Max:10000,650,0,0,7,true,false,
Pizzini,75,Gold,Special,RM,Argentina,Libertadores,Talleres,Min:600 Max:10000,3500,0,0,7,true,false,
Samu Sáiz,75,Gold,RARE,ST,Spain,LaLiga Santander,Girona FC,Min:600 Max:10000,--NA--,0,0,7,true,false,
